Time,Node,S,E,I,R
25,4,4097.0,0.0,0.0,77948.66
25,5,3252.0,0.0,0.0,50792.08
25,6,7755.0,0.0,0.0,141539.5
25,7,6740.0,0.0,0.0,121702.56
25,8,5420.0,0.0,0.0,89810.766
25,9,7596.0,0.0,0.0,127488.28
25,10,2859.0,0.0,0.0,56375.785
25,11,5172.0,0.0,0.0,98132.92
25,12,5788.0,0.0,0.0,111606.98
25,13,6517.0,0.0,0.0,123917.13
26,0,695.0,23.0,131.0,26290.68
26,1,787.0,0.0,0.0,32582.354
26,2,1466.0,0.0,0.0,37879.945
26,3,2981.0,0.0,0.0,54639.43
26,4,4097.0,0.0,0.0,77943.92
26,5,3252.0,0.0,0.0,50788.97
26,6,7755.0,0.0,0.0,141533.69
26,7,6740.0,0.0,0.0,121698.27
26,8,5420.0,0.0,0.0,89807.56
26,9,7596.0,0.0,0.0,127483.734
26,10,2859.0,0.0,0.0,56373.78
26,11,5172.0,0.0,0.0,98129.445
26,12,5788.0,0.0,0.0,111603.016
26,13,6517.0,0.0,0.0,123912.75
27,0,690.0,18.0,136.0,26293.48
27,1,787.0,0.0,0.0,32579.637
27,2,1466.0,0.0,0.0,37877.215
27,3,2981.0,0.0,0.0,54636.1
27,4,4097.0,0.0,0.0,77939.2
27,5,3252.0,0.0,0.0,50785.855
27,6,7755.0,0.0,0.0,141527.88
27,7,6740.0,0.0,0.0,121693.984
27,8,5420.0,0.0,0.0,89804.35
27,9,7596.0,0.0,0.0,127479.195
27,10,2859.0,0.0,0.0,56371.773
27,11,5172.0,0.0,0.0,98125.97
27,12,5788.0,0.0,0.0,111599.06
27,13,6517.0,0.0,0.0,123908.36
28,0,685.0,16.0,142.0,26293.277
28,1,788.0,0.0,0.0,32576.926
28,2,1419.0,0.0,0.0,37514.484
28,3,2993.0,0.0,0.0,54632.777
28,4,4114.0,0.0,0.0,77934.47
28,5,3264.0,0.0,0.0,50782.742
28,6,7809.0,0.0,0.0,141520.06
28,7,6792.0,0.0,0.0,121689.69
28,8,5458.0,0.0,0.0,89797.15
28,9,7651.0,0.0,0.0,127472.66
28,10,2883.0,0.0,0.0,56368.766
28,11,5214.0,0.0,0.0,98120.49
28,12,5835.0,0.0,0.0,111593.11
28,13,6569.0,0.0,0.0,123902.97
29,0,681.0,12.0,148.0,26293.076
29,1,788.0,0.0,0.0,32574.21
29,2,1419.0,0.0,0.0,37511.758
29,3,2993.0,0.0,0.0,54629.453
29,4,4114.0,0.0,0.0,77929.74
29,5,3264.0,0.0,0.0,50779.63
29,6,7809.0,0.0,0.0,141514.25
29,7,6792.0,0.0,0.0,121685.4
29,8,5458.0,0.0,0.0,89793.945
29,9,7651.0,0.0,0.0,127468.11
29,10,2883.0,0.0,0.0,56366.76
29,11,5214.0,0.0,0.0,98117.016
29,12,5835.0,0.0,0.0,111589.16
29,13,6569.0,0.0,0.0,123898.58
30,0,676.0,10.0,151.0,26294.875
30,1,788.0,0.0,0.0,32571.5
30,2,1419.0,0.0,0.0,37509.027
30,3,2993.0,0.0,0.0,54626.13
30,4,4114.0,0.0,0.0,77925.016
30,5,3264.0,0.0,0.0,50776.52
30,6,7809.0,0.0,0.0,141508.44
30,7,6792.0,0.0,0.0,121681.11
30,8,5458.0,0.0,0.0,89790.74
30,9,7651.0,0.0,0.0,127463.56
30,10,2883.0,0.0,0.0,56364.758
30,11,5214.0,0.0,0.0,98113.54
30,12,5835.0,0.0,0.0,111585.2
30,13,6569.0,0.0,0.0,123894.195
31,0,670.0,13.0,151.0,26295.676
31,1,788.0,0.0,0.0,32568.785
31,2,1419.0,0.0,0.0,37506.3
31,3,2993.0,0.0,0.0,54622.805
31,4,4114.0,0.0,0.0,77920.3
31,5,3264.0,0.0,0.0,50773.406
31,6,7809.0,0.0,0.0,141502.64
31,7,6792.0,0.0,0.0,121676.82
31,8,5458.0,0.0,0.0,89787.53
31,9,7651.0,0.0,0.0,127459.03
31,10,2883.0,0.0,0.0,56362.75
31,11,5214.0,0.0,0.0,98110.06
31,12,5835.0,0.0,0.0,111581.25
31,13,6569.0,0.0,0.0,123889.805
32,0,664.0,14.0,150.0,26299.473
32,1,788.0,0.0,0.0,32566.074
32,2,1419.0,0.0,0.0,37503.57
32,3,2993.0,0.0,0.0,54619.48
32,4,4114.0,0.0,0.0,77915.57
32,5,3264.0,0.0,0.0,50770.297
32,6,7809.0,0.0,0.0,141496.83
32,7,6792.0,0.0,0.0,121672.53
32,8,5458.0,0.0,0.0,89784.33
32,9,7651.0,0.0,0.0,127454.484
32,10,2883.0,0.0,0.0,56360.746
32,11,5214.0,0.0,0.0,98106.58
32,12,5835.0,0.0,0.0,111577.29
32,13,6569.0,0.0,0.0,123885.42
33,0,659.0,16.0,151.0,26299.273
33,1,788.0,0.0,0.0,32563.363
33,2,1419.0,0.0,0.0,37500.844
33,3,2993.0,0.0,0.0,54616.156
33,4,4114.0,0.0,0.0,77910.84
33,5,3264.0,0.0,0.0,50767.184
33,6,7809.0,0.0,0.0,141491.02
33,7,6792.0,0.0,0.0,121668.24
33,8,5458.0,0.0,0.0,89781.125
33,9,7651.0,0.0,0.0,127449.945
33,10,2883.0,0.0,0.0,56358.742
33,11,5214.0,0.0,0.0,98103.11
33,12,5835.0,0.0,0.0,111573.336
33,13,6569.0,0.0,0.0,123881.03
34,0,654.0,15.0,152.0,26302.074
34,1,788.0,0.0,0.0,32560.648
34,2,1419.0,0.0,0.0,37498.117
34,3,2993.0,0.0,0.0,54612.836
34,4,4114.0,0.0,0.0,77906.12
34,5,3264.0,0.0,0.0,50764.074
34,6,7809.0,0.0,0.0,141485.22
34,7,6792.0,0.0,0.0,121663.95
34,8,5458.0,0.0,0.0,89777.92
34,9,7651.0,0.0,0.0,127445.41
34,10,2883.0,0.0,0.0,56356.74
34,11,5214.0,0.0,0.0,98099.63
34,12,5835.0,0.0,0.0,111569.38
34,13,6569.0,0.0,0.0,123876.65
35,0,647.0,14.0,154.0,26306.873
35,1,789.0,0.0,0.0,32557.938
35,2,1373.0,0.0,0.0,37131.39
35,3,3005.0,0.0,0.0,54608.51
35,4,4132.0,0.0,0.0,77901.39
35,5,3276.0,0.0,0.0,50760.965
35,6,7863.0,0.0,0.0,141474.4
35,7,6843.0,0.0,0.0,121654.664
35,8,5495.0,0.0,0.0,89772.72
35,9,7706.0,0.0,0.0,127437.87
35,10,2907.0,0.0,0.0,56353.734
35,11,5256.0,0.0,0.0,98094.16
35,12,5882.0,0.0,0.0,111564.43
35,13,6622.0,0.0,0.0,123871.266
36,0,644.0,12.0,156.0,26307.672
36,1,789.0,0.0,0.0,32555.227
36,2,1373.0,0.0,0.0,37128.664
36,3,3005.0,0.0,0.0,54605.188
36,4,4132.0,0.0,0.0,77896.67
36,5,3276.0,0.0,0.0,50757.855
