"adm0_name","adm1_name","n_samples","r_effect_mean","r_effect_sd","r_effect_median","sia_effect_mean","sia_effect_sd","sia_effect_median","r_effect_q025","r_effect_q975","sia_effect_q025","sia_effect_q975","correlation"
"DEMOCRATIC REPUBLIC OF THE CONGO","LUALABA",500,1.6156229500868757,0.3152419369150497,1.6331257411646725,-0.3043235007337598,0.20059976241105998,-0.30073104952299723,0.9900880217917709,2.1918063654403093,-0.687185861826072,0.07724713111743482,-0.3170887506560383
"DEMOCRATIC REPUBLIC OF THE CONGO","MAINDOMBE",500,1.6675538590900938,0.27647685915837805,1.6870565534281952,0.10527055008438989,0.18724344384101,0.10177594689209642,1.1036702748413614,2.216798695945905,-0.26749481676558495,0.47844543088291985,-0.16398875547936387
"DEMOCRATIC REPUBLIC OF THE CONGO","MANIEMA",500,1.7209182252171318,0.24931206049106577,1.7272042174092341,-0.271036558787564,0.1786698266258135,-0.2697356867165522,1.2223819841874988,2.2248893501466362,-0.625584079305558,0.07211857590065728,-0.16128320367285892
"DEMOCRATIC REPUBLIC OF THE CONGO","MONGALA",500,2.264864323482646,0.32203043700667017,2.285315105552045,-0.12089867028993805,0.1839249306737032,-0.124727906012322,1.6276295225881454,2.887638923392934,-0.4738151768465112,0.21783726590130909,-0.5102046333195813
"DEMOCRATIC REPUBLIC OF THE CONGO","NORD KIVU",500,1.1918214391405437,0.3925788356396197,1.1770694337283927,0.12745007997808866,0.21587204888804026,0.12296939472131006,0.3883612591801805,1.9581945723657026,-0.2775962324562642,0.5425339431301495,-0.32843681307989925
"DEMOCRATIC REPUBLIC OF THE CONGO","NORD UBANGI",500,1.1928487733777275,0.40350352061075695,1.172729748180325,-0.054809546423396555,0.23499433831255148,-0.06010473971852133,0.4532250013483152,1.9534789550623723,-0.4748474294538463,0.45545138449793626,-0.3692778794023465
"DEMOCRATIC REPUBLIC OF THE CONGO","SANKURU",500,1.948503905993409,0.29496974462383924,1.9367577902595272,-0.5257797740778579,0.21456377116939576,-0.5358500311253951,1.3842181319026747,2.490254932474814,-0.9363649725020261,-0.09450450278640993,-0.1731631937370628
"DEMOCRATIC REPUBLIC OF THE CONGO","SUD-KIVU",500,1.208301290768419,0.33131726959096786,1.20478123464562,0.26679331598694106,0.1754536924022798,0.26828993576370347,0.5853402168289702,1.8408929568227015,-0.08907010025363785,0.6118729728238697,-0.3837604230200144
"DEMOCRATIC REPUBLIC OF THE CONGO","SUD-UBANGI",500,1.1932169432061972,0.40090131984177474,1.2132932934018144,-0.3286934253194087,0.2510140180333308,-0.3270135673921227,0.46321662678414255,1.9661285829807635,-0.8159918867222316,0.14305570195685818,-0.2363015982025683
"DEMOCRATIC REPUBLIC OF THE CONGO","TANGANYIKA",500,2.8961145728565816,0.2624242672848428,2.9003167234267226,0.16541032849940177,0.10213862838638114,0.16817181209081694,2.3881482204839344,3.395697433924807,-0.03834550396032087,0.3551915616872602,-0.332618945400227
