adm0_name,adm1_name,mean,lower,upper
EGYPT,RED SEA,0.986973110484195,0.7142129125603189,1.3639013012615868
DEMOCRATIC REPUBLIC OF THE CONGO,MAINDOMBE,0.8943807723300148,0.7028974576575766,1.13802796865901
GHANA,WESTERN,1.0164920823133652,0.694059707455208,1.4887136399175627
UNITED REPUBLIC OF TANZANIA,KUSINI PEMBA,1.0000289133439082,0.5597457374209664,1.7866287506387704
SOMALIA,LOWER SHABELLE,0.6431201098124142,0.5617794845461493,0.7362381272774206
IRAN (ISLAMIC REPUBLIC OF),KERMANSHAH,1.0461291137872988,0.7054785628551813,1.5512677214233834
UZBEKISTAN,KASHKADARYA,1.0270432707012926,0.690660985040326,1.5272585287718592
EGYPT,SUEZ,0.9446431737907461,0.6709001208069222,1.3300798406716383
BURKINA FASO,KAYA,1.0549271153337632,0.7596005949052878,1.4650741799447582
MAURITANIA,GUIODIMAKHA,1.0309112808618326,0.7041942902348737,1.5092114260876954
ETHIOPIA,TIGRAY,1.0340652783919944,0.7303359646152716,1.464108371739843
SOUTH SUDAN,WARRAP,1.251928342770832,0.9237865259814322,1.6966306948110055
IRAN (ISLAMIC REPUBLIC OF),KERMAN,0.9655504616357293,0.6472858358034844,1.4403029425287988
LIBERIA,RIVERCESS,1.0879996493857413,0.7042490450065458,1.680858845967616
UNITED REPUBLIC OF TANZANIA,RUVUMA,1.163770995134577,0.7817200195151743,1.7325422085985556
LEBANON,MONT LIBAN,0.963202906615551,0.6045321859288413,1.5346740188649808
BURUNDI,MAKAMBA,1.0216806016219202,0.691998864641661,1.508429139216952
NIGERIA,ADAMAWA,0.6751489204531813,0.5741787595582134,0.7938748293995058
SAUDI ARABIA,ASR,1.1930822389156834,0.8068990543611417,1.7640933164100254
CHAD,ENNEDI OUEST,0.7208787660261452,0.5133969499472658,1.0122113023085857
AFGHANISTAN,LAGHMAN,1.0706584598011168,0.8162017926368894,1.404443788147459
GUINEA,NZEREKORE,1.023448931472907,0.7812257265389463,1.3407747335376796
BOTSWANA,KWENENG WEST,1.2932611521184463,0.8484694119287165,1.9712253430289228
BURKINA FASO,BANFORA,1.036519460178802,0.7370211104573959,1.4577229554016413
IRAQ,BASRAH,1.1460509168113084,0.7762071076910568,1.6921163062150273
KUWAIT,MOBARAK ALKABEER,1.2426998557308295,0.7285871341411007,2.1195857833173783
IRAN (ISLAMIC REPUBLIC OF),TEHRAN,1.0299678317912786,0.6808694036588798,1.5580575787722062
BURUNDI,BUBANZA,1.036950410729092,0.7206820857665772,1.4920117698880953
MOZAMBIQUE,MANICA,1.153184532604954,0.777261356547844,1.7109233014563885
MADAGASCAR,SUD-EST,1.0001296289629094,0.5256714433870464,1.9028221664173746
EGYPT,KALIOUBIA,0.9934097094866153,0.6747268364940209,1.462610937531646
UNITED REPUBLIC OF TANZANIA,KAGERA,1.0759600403184522,0.7802984180794763,1.4836503336908857
TURKMENISTAN,AHAL,0.9577903047278294,0.6718270093636203,1.365473931599726
ZAMBIA,NORTHERN,1.0334194910532248,0.7350575249548913,1.4528874383732702
KENYA,KWALE,1.0694692993998072,0.6991929991281033,1.6358352898055246
OMAN,NORTH BATINAH,1.3241037348115616,0.7593241767280077,2.308962040556688
LIBERIA,GRAND BASSA,1.0923692708893558,0.7155508912968489,1.6676250962676984
BURUNDI,BURURI,1.0396673394936835,0.7011664687635704,1.5415856646937756
TURKMENISTAN,DASHOGUZ,0.9897332115599317,0.6602733356292996,1.4835853232375602
SENEGAL,ZIGUINCHOR,1.1837148553249617,0.73702205333942306,1.9011383070130567
GHANA,BONO,1.0038119837941302,0.7469609304384067,1.3489842075372045
UNITED REPUBLIC OF TANZANIA,LINDI,1.1613245245207584,0.7398455232941717,1.8229138499728652
BENIN,ALIBORI,0.8256530027014051,0.6152306844098542,1.1080443452259778
OMAN,SOUTH SHARQIYAH,1.3517553410811596,0.7399222950592232,2.46950593912729
TUNISIA,ARIANA,0.971907294830789,0.5192956048894253,1.81900979105425
UGANDA,ANKOLE,1.084934211212355,0.7669433004951445,1.5347708779762996
MOZAMBIQUE,SOFALA,1.2342534706045167,0.791061565089438,1.9257434527577655
CHAD,LOGONE OCCIDENTAL,0.6570807981297835,0.561323692311964,0.7691732616746889
KENYA,MARSABIT,0.9046281103691743,0.6563637558009203,1.246796476553645
AFGHANISTAN,NIMROZ,0.922123791672466,0.6747160698291923,1.2602520159089532
NIGERIA,BENUE,0.842036985843125,0.6736655673294346,1.0524900186579502
LIBERIA,NIMBA,1.0506413911525347,0.7407633629696958,1.490148390138581
YEMEN,MARIB,1.264703388639433,0.8918559057195722,1.7934227390080129
MADAGASCAR,SAVA,0.9999629294756746,0.484189474571324,2.0651540622828617
LIBERIA,GRAND KRU,1.0958371225014731,0.6556840729838559,1.8314597662674648
CHAD,TIBESTI,0.6906189728383667,0.4926303255284171,0.9681794662817761
MAURITANIA,TIRIS ZEMMOUR,0.8793210760445921,0.6023770710609141,1.2835906144542353
IRAN (ISLAMIC REPUBLIC OF),HORMOZGAN,0.9767369016515215,0.6352943513777477,1.5016896860154105
SAUDI ARABIA,HFB,1.1904873983023774,0.8187514537420844,1.7310018065179742
JORDAN,IRBID,1.049399009365457,0.6918060997451168,1.5918308341931875
MADAGASCAR,IHOROMBE,0.9999280970523826,0.5212088784281069,1.918340689610331
NAMIBIA,ERONGO,1.2834697205363712,0.8152092643578943,2.0207014266836314
LESOTHO,LERIBE,1.2992704791588958,0.7796768287118456,2.16513267529422
KENYA,THARAKA NITHI,1.0018697054492178,0.6774980317404984,1.4815436498291785
MOZAMBIQUE,ZAMBEZIA,1.255535736282511,0.834676272672437,1.888600451089021
IRAQ,NAJAF,1.0928493857059332,0.7451820599649324,1.6027221319499307
NIGERIA,GOMBE,0.5911623149671517,0.5241803782926985,0.666703480537721
UZBEKISTAN,BUKHARA,1.0165409077256633,0.6779794932354472,1.5241691340077985
MOROCCO,RABAT-SALE-KENITRA,0.8802056071066101,0.5002135241242548,1.5488623825961667
SAUDI ARABIA,HAS,1.45587157947855,0.8295281578698382,2.555141782499867
TAJIKISTAN,GBAO,1.0311958830941503,0.6916697760263274,1.5373881961698572
CONGO,CUVETTE OUEST,0.9658185813592979,0.6586488920807497,1.4162409491831762
ANGOLA,CABINDA,1.0474140049070482,0.679374698658383,1.614832138791613
MAURITANIA,ADRAR,0.9399736492564377,0.6737979709300983,1.3112987860097407
GAMBIA,WESTERN REGION 1,1.182070808974424,0.7684222108315626,1.8183901737006622
OMAN,NORTH SHARQIYAH,1.35056355779117,0.7579930161058975,2.406383548234064
MALI,KOULIKORO,0.973999920338716,0.7408203352015441,1.280574789515915
KENYA,KISII,1.0821827168172915,0.7161286896625282,1.6353477377507928
CHAD,N'DJAMENA,0.5356929088694874,0.48374782821889745,0.5932158779288604
DEMOCRATIC REPUBLIC OF THE CONGO,BAS UELE,1.0177362385306121,0.7598454847152686,1.3631548414169665
NAMIBIA,OHANGWENA,1.2315780783298758,0.8120074466285587,1.867944154108902
IRAN (ISLAMIC REPUBLIC OF),MAZANDARAN,1.0280690852391858,0.6804148842519396,1.5533552667451458
MOROCCO,MARRAKECH-SAFI,0.8646603512679124,0.5071625536472422,1.4741575805984537
NIGER,MARADI,0.7202891690323399,0.6155288633939733,0.8428792179859602
TUNISIA,JENDOUBA,0.921165421238794,0.5571842354732017,1.5229176980669552
CHAD,KANEM,0.6273570711608973,0.5139363623282138,0.7658086167567767
ALGERIA,BOUIRA,0.7990106071521285,0.5152915714574536,1.2389450666462645
BURUNDI,KIRUNDO,1.0749213365659098,0.7270091154050136,1.5893279125681181
AFGHANISTAN,KUNDUZ,0.9556386666217092,0.70470921144498,1.295917871244996
BURUNDI,BUJUMBURA RURAL,0.9912323410748974,0.685594798830814,1.4331228236684541
SUDAN,NORTHERN,0.9877990783645519,0.7140400822146457,1.366515751036709
YEMEN,SHABWAH,1.230856836003785,0.844358141060448,1.7942724503544383
SYRIAN ARAB REPUBLIC,DAMASCUS,0.9858786525614095,0.5260105028423739,1.847789563752421
LIBERIA,MONTSERRADO,1.0127800687688187,0.7434019204529705,1.379769730848122
KENYA,VIHIGA,1.0848697440357415,0.6951375396401973,1.6931071829804498
SENEGAL,SAINT LOUIS,1.0755477004662157,0.7294895600471146,1.5857702691501867
JORDAN,BALKA,1.0682534025551718,0.6914021613843375,1.6505087716038411
ZIMBABWE,MATABELELAND NORTH,1.2685568526788078,0.872226605826622,1.844975236628176
MOZAMBIQUE,CABO DELGADO,1.2416388475356552,0.7558560634018728,2.0396304301259565
CONGO,NIARI,1.012457930162772,0.7074406759220091,1.4489851873636035
MALI,MOPTI,0.8650872832546807,0.6593247869048214,1.1350642695570288
CHAD,MANDOUL,0.6373268653542741,0.5115144811140336,0.794084133097599
ANGOLA,NAMIBE,1.2046385679255198,0.7985510903747071,1.817233858703667
EGYPT,SHARKIA,0.9840991881758148,0.6744307115662355,1.4359536058481919
UNITED REPUBLIC OF TANZANIA,ARUSHA,1.0745003250554368,0.7545264387151679,1.530166325927887
JORDAN,AMMAN,1.070637975412836,0.7085079209115559,1.6178586584061456
GHANA,UPPER WEST,1.0450810563479742,0.7473253304659736,1.4614711556162463
UGANDA,ACHOLI,1.0635306819415977,0.7449450254582507,1.5183637352774733
MOROCCO,TANGER-TETOUAN-HOC,0.8788634418538175,0.4985423565473337,1.5493186071017506
NAMIBIA,KAVANGO,1.2432567482514307,0.8384846807054063,1.8434294360301904
ALGERIA,MILA,0.8714905409783245,0.5513696835632824,1.3774710247149906
ALGERIA,AIN DAFLA,0.8308523401394443,0.5237131749934735,1.3181177103741835
GUINEA-BISSAU,FARIM,1.1329082626145064,0.7181471587864537,1.7872118768374492
ALGERIA,BECHAR,0.8485830272210965,0.5635417835960287,1.2777990471136285
ANGOLA,CUNENE,1.224841272154379,0.8348242848714414,1.7970681605216916
KENYA,MOMBASA,1.080692415225204,0.6223944769681891,1.8764563946877373
BENIN,PLATEAU,0.8674593346882513,0.621249521252389,1.2112455166497904
CÔTE D’IVOIRE,GONTOUGO,1.0600676679845162,0.7666896660535805,1.4657083699724722
ALGERIA,M'SILA,0.8332589369490142,0.5537366252213604,1.253882124426649
BURUNDI,KARUSI,1.057250520318369,0.7254187463373691,1.540873693100866
SOMALIA,GEDO,0.648974559536461,0.5652099385617266,0.7451531726375474
KENYA,WAJIR,0.8562942431419899,0.6284279746308922,1.1667841987282344
CENTRAL AFRICAN REPUBLIC,RS1,0.9037172494356583,0.6881773308293341,1.186765140815272
GABON,LIBREVILLE,0.9618220815941502,0.47612442151887396,1.9429831254842147
EGYPT,MATROUH,0.9655917746619446,0.6577291227918861,1.4175554084288557
TUNISIA,KAIROUAN,0.9412030631000281,0.5555969676586425,1.5944349187541798
KENYA,TRANS NZOIA,1.0664053927649981,0.7125516140050765,1.5959832794795519
SOMALIA,BAY,0.624339581253753,0.5451080756050611,0.7150873930595134
SOMALIA,BAKOL,0.7757895823318386,0.5798107642251162,1.0380101805438995
CENTRAL AFRICAN REPUBLIC,RS4,0.9503853194876739,0.721543606988349,1.2518054996948687
KYRGYZSTAN,YSYK-KOL,1.114836813490527,0.5791558600869611,2.14598730042565
CHAD,DAR SILA,0.6465964118731256,0.520842165918965,0.8027132732418755
ETHIOPIA,SOMALI,0.8289706631740262,0.669319463901884,1.026703087935182
BENIN,COUFFO,0.9650703806182988,0.6625457031732478,1.4057307067059945
UNITED REPUBLIC OF TANZANIA,MJINI MAGHARIBI,1.0002395244825208,0.5598372079642325,1.7870893397298808
MALI,BAMAKO,0.8824455498186926,0.5999554284055318,1.2979466665788002
JORDAN,MA'AN,1.0741798585727873,0.681760994220815,1.6924734303437308
MADAGASCAR,MELAKY,0.9994607108318246,0.5652440922062778,1.767239545304112
ALGERIA,EL BAYADH,0.8317579351320346,0.5675064024531218,1.2190545510405129
CÔTE D’IVOIRE,LOH-DJIBOUA,1.0572589616432768,0.7505999608124817,1.48920406385989
BURUNDI,MUYINGA,1.0701440304685377,0.7402526080063835,1.547050606186545
UGANDA,KIGEZI,1.0751467473975271,0.7181197945289073,1.6096764596188144
JORDAN,MADABA,1.0756910259114578,0.6623206775633754,1.7470558030641095
ANGOLA,BIE,1.1146209521688117,0.8188651024903254,1.5171972321636282
KYRGYZSTAN,OSH,1.0705923205061199,0.6997332575375812,1.6380069181792751
BOTSWANA,JWANENG,1.2956439410057974,0.8118282978195047,2.0677934316577153
CHAD,WADI FIRA,0.6676602291352225,0.5499220372256751,0.8106061430412629
BURUNDI,NGOZI,1.063436795249034,0.7243081688556806,1.5613489756386703
IRAN (ISLAMIC REPUBLIC OF),GILAN,1.043226214790631,0.6530701936800123,1.666468544665568
TUNISIA,TOZEUR,0.8472922000406857,0.5335612786773613,1.3454950742103882
KENYA,NANDI,1.0738700338121336,0.7266522925856089,1.5869995337334106
SOMALIA,MUDUG GM,0.7837469198258793,0.4971545074036494,1.2355499652300739
