dot_name,lat,lon,prop_underwt,ADM0_NAME,ADM1_NAME,ADM2_NAME
AFRO:ETHIOPIA:AMHARA:NORTH_GONDAR,13.237781822415306,38.07083384580774,0.34496009430899055,ETHIOPIA,AMHARA,NORTH_GONDAR
AFRO:ETHIOPIA:DIRE_DAWA:DIRE_DAWA_URBAN,9.623970403878856,41.83576649965343,0.17568979263305665,ETHIOPIA,DIRE_DAWA,DIRE_DAWA_URBAN
AFRO:ETHIOPIA:SNNP:MIRAB_OMO,6.144196677047003,35.55583387205391,0.3340710209075,ETHIOPIA,SNNP,MIRAB_OMO
AFRO:ETHIOPIA:SNNP:BENCH_MAJI,6.925007006060084,35.35691088104441,0.2763111061096192,ETHIOPIA,SNNP,BENCH_MAJI
AFRO:ETHIOPIA:SNNP:KONSO,5.3608457499939215,37.368672004199865,0.3026227017745231,ETHIOPIA,SNNP,KONSO
AFRO:ETHIOPIA:SNNP:AMARO,5.79490691022223,37.79067310793317,0.2897062809236588,ETHIOPIA,SNNP,AMARO
AFRO:ETHIOPIA:SNNP:BURJI,5.508405471423957,37.75938158929789,0.2923541198586518,ETHIOPIA,SNNP,BURJI
AFRO:ETHIOPIA:SNNP:ALLE,5.572913784830801,37.1607012352413,0.299071317471956,ETHIOPIA,SNNP,ALLE
AFRO:ETHIOPIA:SNNP:DERASHE,5.650837916601931,37.37829191524305,0.28425146102905274,ETHIOPIA,SNNP,DERASHE
AFRO:ETHIOPIA:SNNP:KEMBATA_TEMBARO,7.284644698841342,37.74677961991453,0.2959316085179647,ETHIOPIA,SNNP,KEMBATA_TEMBARO
AFRO:ETHIOPIA:SNNP:HADIYA,7.506855409831438,37.76409735439622,0.30371218822411533,ETHIOPIA,SNNP,HADIYA
AFRO:ETHIOPIA:BENESHANGUL_GUMUZ:ASSOSA,10.22440507431814,34.71190402875344,0.2633217966687548,ETHIOPIA,BENESHANGUL_GUMUZ,ASSOSA
AFRO:LIBERIA:BOMI:DOWEIN,6.578944020434905,-10.914609598356334,0.18478899138314384,LIBERIA,BOMI,DOWEIN
AFRO:LIBERIA:BOMI:KLAY,6.709380144267626,-10.822297542493544,0.18732765897115072,LIBERIA,BOMI,KLAY
AFRO:LIBERIA:BOMI:SENJEH,6.851333955253141,-10.883709426275122,0.18692724642546282,LIBERIA,BOMI,SENJEH
AFRO:LIBERIA:BOMI:SUEHN_MECCA,6.731011364198858,-10.639309930090086,0.182814767257027,LIBERIA,BOMI,SUEHN_MECCA
AFRO:LIBERIA:BONG:FUAMAH,6.943141173878404,-10.285041606861068,0.17536347820645287,LIBERIA,BONG,FUAMAH
AFRO:LIBERIA:BONG:JORQUELLEH,6.9200660555235824,-9.427867489986667,0.18011583507061005,LIBERIA,BONG,JORQUELLEH
AFRO:LIBERIA:BONG:KOKOYAH,6.620026972587584,-9.407631736513402,0.18264795345730253,LIBERIA,BONG,KOKOYAH
AFRO:LIBERIA:BONG:KPAAI,6.928301367279908,-9.2292966512891,0.18307445017496743,LIBERIA,BONG,KPAAI
AFRO:LIBERIA:BONG:SALALA,6.777871050642162,-9.981036101731583,0.1673970651626587,LIBERIA,BONG,SALALA
AFRO:LIBERIA:BONG:SANOYEAH,7.0369880490042345,-9.90168351412871,0.17443544621370274,LIBERIA,BONG,SANOYEAH
AFRO:LIBERIA:BONG:SUAKOKO,6.923702694352597,-9.651341766090583,0.17544412256876626,LIBERIA,BONG,SUAKOKO
AFRO:LIBERIA:BONG:ZOTA,7.275658650003864,-9.41102884850231,0.1758411896534455,LIBERIA,BONG,ZOTA
