date,dot_name,age_min,age_max
2025-02-01,AFRO:NIGERIA:NIGER:EDATI,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:GBAKO,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:GURARA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:KATCHA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:KONTAGORA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:LAPAI,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:LAVUN,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:MAGAMA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:MARIGA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:MASHEGU,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:MOKWA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:MUYA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:PAIKORO,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:RAFI,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:RIJAU,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:SHIRORO,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:SULEJA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:TAFA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:WUSHISHI,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:ARDO_KOLA,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:BALI,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:DONGA,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:GASHAKA,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:GASSOL,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:IBI,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:JALINGO,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:KARIM_LAMIDO,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:KURMI,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:LAU,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:SARDAUNA,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:TAKUM,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:USSA,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:WUKARI,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:YORRO,0,1825
2025-02-01,AFRO:NIGERIA:TARABA:ZING,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:AKKO,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:BALANGA,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:BILLIRI,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:DUKKU,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:FUNAKAYE,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:GOMBE,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:KALTUNGO,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:KWAMI,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:NAFADA,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:SHOMGOM,0,1825
2025-02-01,AFRO:NIGERIA:GOMBE:YAMALTU_DEBA,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:DEMSA,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:FUFORE,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:GANYE,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:GIRIE,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:GOMBI,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:GUYUK,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:HONG,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:JADA,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:LARMURDE,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:MADAGALI,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:MAIHA,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:MAYO_BELWA,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:MICHIKA,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:MUBI_NORTH,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:MUBI_SOUTH,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:NUMAN,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:SHELLENG,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:SONG,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:TEUNGO,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:YOLA_NORTH,0,1825
2025-02-01,AFRO:NIGERIA:ADAMAWA:YOLA_SOUTH,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:BINJI,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:BODINGA,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:DANGE_SHUNI,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:GADA,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:GORONYO,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:GUDU,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:GWADABAWA,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:ILLELA,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:ISA,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:KEBBE,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:KWARE,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:RABAH,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:SABON_BIRNI,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:SHAGARI,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:SILAME,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:SOKOTO_NORTH,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:SOKOTO_SOUTH,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:TAMBUWAL,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:TANGAZA,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:TURETA,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:WAMAKO,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:WURNO,0,1825
2025-03-01,AFRO:NIGERIA:SOKOTO:YABO,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:BARDE,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:BORSARI,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:DAMATURU,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:FIKA,0,1825
