Time,Node,S,E,I,R
37,0,5600.0,87.0,1009.0,264470.6
37,1,6625.0,0.0,0.0,326787.3
37,2,16610.0,0.0,0.0,384038.44
37,3,28983.0,0.0,0.0,546863.6
37,4,41582.0,0.0,0.0,779541.7
37,5,29399.0,0.0,0.0,512230.53
37,6,72512.0,0.0,0.0,1420221.0
37,7,64880.0,0.0,0.0,1218998.2
37,8,48339.0,0.0,0.0,904657.0
37,9,70000.0,0.0,0.0,1282360.1
37,10,31106.0,0.0,0.0,560933.94
37,11,52883.0,0.0,0.0,979960.0
37,12,58968.0,0.0,0.0,1115079.0
37,13,65750.0,0.0,0.0,1236444.9
38,0,5574.0,80.0,1003.0,264487.5
38,1,6625.0,0.0,0.0,326760.1
38,2,16610.0,0.0,0.0,384011.16
38,3,28983.0,0.0,0.0,546830.4
38,4,41582.0,0.0,0.0,779494.4
38,5,29399.0,0.0,0.0,512199.3
38,6,72512.0,0.0,0.0,1420162.8
38,7,64880.0,0.0,0.0,1218955.1
38,8,48339.0,0.0,0.0,904624.9
38,9,70000.0,0.0,0.0,1282314.6
38,10,31106.0,0.0,0.0,560914.06
38,11,52883.0,0.0,0.0,979925.25
38,12,58968.0,0.0,0.0,1115039.4
38,13,65750.0,0.0,0.0,1236401.0
39,0,5542.0,79.0,1001.0,264500.44
39,1,6625.0,0.0,0.0,326732.88
39,2,16610.0,0.0,0.0,383983.88
39,3,28983.0,0.0,0.0,546797.1
39,4,41582.0,0.0,0.0,779447.1
39,5,29399.0,0.0,0.0,512168.12
39,6,72512.0,0.0,0.0,1420104.5
39,7,64880.0,0.0,0.0,1218912.0
39,8,48339.0,0.0,0.0,904592.75
39,9,70000.0,0.0,0.0,1282269.0
39,10,31106.0,0.0,0.0,560894.1
39,11,52883.0,0.0,0.0,979890.5
39,12,58968.0,0.0,0.0,1114999.9
39,13,65750.0,0.0,0.0,1236357.2
40,0,5507.0,79.0,996.0,264518.34
40,1,6625.0,0.0,0.0,326705.7
40,2,16610.0,0.0,0.0,383956.6
